연도,지역,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2018.0,강원,13.7,9.8,18.0
2018.0,서울,12.9,8.8,17.9
2018.0,인천,12.5,9.2,16.3
2018.0,경기,12.7,7.9,18.5
2018.0,충북,13.5,9.1,18.7
2018.0,세종,13.5,8.8,19.0
2018.0,경북,12.7,7.3,18.9
2018.0,대구,14.1,9.2,19.6
2018.0,전북,13.9,9.5,19.3
2018.0,울산,14.3,10.2,19.0
2018.0,경남,14.2,10.1,19.1
2018.0,광주,14.6,10.3,20.1
2018.0,부산,15.1,11.8,19.2
2018.0,전남,14.4,11.1,18.4
2018.0,제주,16.6,13.9,19.8
2019.0,인천,13.2,9.9,17.1
2019.0,경기,13.2,8.2,18.8
2019.0,충북,14.2,9.7,19.3
2019.0,세종,14.0,9.2,19.5
2019.0,경북,12.9,7.4,18.9
2019.0,대구,14.8,9.9,20.3
2019.0,전북,14.2,9.7,19.5
2019.0,울산,14.9,10.7,19.7
2019.0,경남,14.6,10.5,19.7
2019.0,광주,14.7,10.5,20.0
2019.0,부산,15.7,12.5,19.8
2019.0,전남,14.3,11.1,18.2
2019.0,제주,16.8,14.2,19.9
2019.0,강원,14.7,10.7,19.4
2019.0,서울,13.5,9.3,18.5
2020.0,강원,14.3,10.4,18.6
2020.0,서울,13.2,9.4,17.9
2020.0,인천,12.8,9.8,16.3
2020.0,경기,12.9,8.5,18.0
2020.0,충북,13.9,9.7,18.9
2020.0,세종,13.7,9.2,19.2
2020.0,경북,12.6,7.3,18.6
2020.0,대구,14.5,9.8,20.0
2020.0,전북,14.0,9.7,19.2
2020.0,울산,14.6,10.6,19.3
2020.0,경남,14.4,10.5,19.3
2020.0,광주,14.5,10.5,19.6
2020.0,부산,15.2,11.9,19.4
2020.0,전남,14.0,11.0,17.5
2020.0,제주,16.7,14.0,20.0
2021.0,강원,14.6,10.5,19.2
2021.0,서울,13.7,9.6,18.5
2021.0,인천,13.4,10.0,17.1
2021.0,경기,13.4,8.7,18.6
2021.0,충북,14.4,9.9,19.3
2021.0,세종,14.3,9.5,19.7
2021.0,경북,12.7,7.5,18.7
2021.0,대구,14.6,9.8,20.2
2021.0,전북,14.6,10.1,19.9
2021.0,울산,14.9,10.8,19.6
2021.0,경남,14.9,10.8,19.9
2021.0,광주,15.1,10.8,20.3
2021.0,부산,15.7,12.4,19.9
2021.0,전남,15.1,11.8,18.9
2021.0,제주,17.5,14.6,21.0
2022.0,강원,14.7,10.6,19.3
2022.0,서울,13.2,9.2,18.0
2022.0,인천,12.5,9.3,16.3
2022.0,경기,12.8,8.1,18.0
2022.0,충북,13.9,9.4,19.0
2022.0,세종,13.5,8.5,19.4
2022.0,경북,12.6,6.9,18.8
2022.0,대구,14.7,9.6,20.4
2022.0,전북,14.0,9.5,19.4
2022.0,울산,14.7,10.5,19.5
2022.0,경남,14.7,10.5,19.7
2022.0,광주,14.8,10.5,20.2
2022.0,부산,15.4,12.0,19.8
2022.0,전남,14.3,11.1,18.2
2022.0,제주,17.0,14.1,20.5
2023.0,강원,15.5,11.4,20.0
2023.0,서울,14.1,10.0,18.7
2023.0,인천,13.4,10.2,17.1
2023.0,경기,13.3,8.7,18.6
2023.0,충북,14.8,10.4,19.8
2023.0,세종,14.0,9.1,19.8
2023.0,경북,13.3,7.8,19.4
2023.0,대구,15.1,10.2,20.7
2023.0,전북,14.8,10.3,20.1
2023.0,울산,15.0,10.8,19.8
2023.0,경남,15.2,11.0,20.2
2023.0,광주,15.3,11.0,20.5
2023.0,부산,16.0,12.8,20.2
2023.0,전남,14.9,11.6,18.8
2023.0,제주,17.5,14.5,21.0
2024.0,강원,15.3,11.6,19.5
2024.0,서울,14.9,11.0,19.5
2024.0,인천,14.2,11.0,18.0
2024.0,경기,14.1,9.7,19.2
2024.0,충북,15.6,11.5,20.4
2024.0,세종,14.9,10.4,20.3
2024.0,경북,14.2,9.1,20.0
2024.0,대구,15.8,11.3,21.2
2024.0,전북,15.8,11.6,20.8
2024.0,울산,15.6,11.6,20.1
2024.0,경남,16.2,12.3,21.1
2024.0,광주,16.0,12.0,20.9
2024.0,부산,16.7,13.4,20.9
2024.0,전남,15.7,12.6,19.5
2024.0,제주,18.2,15.4,21.4
